id_customer,level,nama,id_cabang_sales,cabang_sales,id_distributor,group
CUST55462,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55463,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55464,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55465,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55466,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55467,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55468,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55469,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55470,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55471,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55472,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55473,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55474,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55475,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55476,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55477,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55478,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55479,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55480,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55481,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55482,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55483,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55484,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55485,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55486,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55487,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55488,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55489,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55490,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55491,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55492,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55493,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55494,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55495,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55496,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55497,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55498,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55499,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55500,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55501,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55502,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55503,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55504,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55505,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55506,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55507,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55508,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55509,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55510,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55511,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55512,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55513,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55514,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55515,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55516,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55517,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55518,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55519,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55520,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55521,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55522,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55523,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55524,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55525,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55526,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55527,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55528,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55529,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55530,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55531,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55532,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55533,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55534,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55535,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55536,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55537,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55538,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55539,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55540,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55541,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55542,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55543,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55544,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55545,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55546,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55547,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55548,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55549,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55550,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55551,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55552,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55553,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55554,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55555,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55556,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55557,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55558,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55559,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55560,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55561,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55562,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55563,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55564,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55565,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55566,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55567,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55568,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55569,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55570,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55571,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55572,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55573,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55574,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55575,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55576,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55577,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55578,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55579,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55580,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55581,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55582,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55583,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55584,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55585,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55586,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55587,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55588,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55589,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55590,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55591,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55592,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55593,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55594,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55595,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55596,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55597,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55598,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55599,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55600,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55601,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55602,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55603,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55604,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55605,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55606,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55607,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55608,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55609,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55610,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55611,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55612,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55613,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55614,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55615,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55616,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55617,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55618,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55619,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55620,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55621,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55622,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55623,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55624,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55625,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55626,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55627,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55628,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55629,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55630,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55631,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55632,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55633,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55634,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55635,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55636,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55637,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55638,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55639,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55640,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55641,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55642,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55643,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55644,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55645,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55646,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55647,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55648,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55649,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55650,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55651,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55652,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55653,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55654,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55655,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55656,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55657,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55658,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55659,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55660,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55661,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55662,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55663,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55664,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55665,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55666,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55667,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55668,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55669,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55670,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55671,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55672,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55673,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55674,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55675,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55676,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55677,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55678,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55679,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55680,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55681,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55682,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55683,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55684,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55685,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55686,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55687,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55688,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55689,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55690,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55691,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55692,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55693,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55694,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55695,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55696,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55697,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55698,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55699,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55700,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55701,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55702,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55703,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55704,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55705,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55706,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55707,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55708,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55709,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55710,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55711,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55712,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55713,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55714,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55715,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55716,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55717,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55718,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55719,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55720,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55721,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
CUST55722,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek
CUST55723,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek
CUST55724,Company,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik
CUST55725,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek
CUST55726,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek
CUST55727,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik
CUST55728,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek
CUST55729,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik
