id_penjualan,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,harga,customer,id_cabang_sales,cabang_sales,id_distributor,grup,barang,kemasan,nama_tipe,kode_brand,brand,total_sales
IN6307BRG0007,IN6307,2022-01-23,CUST55396,BRG0007,22,64700,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,1423400
IN6307BRG0006,IN6307,2022-01-23,CUST55396,BRG0006,15,39000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,585000
IN6024BRG0004,IN6024,2022-01-27,CUST55394,BRG0004,12,24500,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6287BRG0010,IN6287,2022-01-30,CUST55391,BRG0010,16,21000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,336000
IN6102BRG0003,IN6102,2022-01-31,CUST55392,BRG0003,11,17000,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,187000
IN6280BRG0009,IN6280,2022-01-23,CUST55384,BRG0009,10,31000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,310000
IN6029BRG0010,IN6029,2022-01-28,CUST55389,BRG0010,20,21000,KLINIK GM,CAB03,Jakarta,TA,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,420000
IN5997BRG0005,IN5997,2022-01-20,CUST55380,BRG0005,40,47000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,1880000
IN6297BRG0007,IN6297,2022-01-20,CUST55381,BRG0007,12,64700,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,776400
IN6184BRG0006,IN6184,2022-01-28,CUST55395,BRG0006,25,39000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,975000
IN6308BRG0006,IN6308,2022-01-23,CUST55397,BRG0006,10,39000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,390000
IN6144BRG0010,IN6144,2022-01-22,CUST55383,BRG0010,13,21000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,273000
IN6297BRG0008,IN6297,2022-01-20,CUST55381,BRG0008,30,9800,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,294000
IN6251BRG0002,IN6251,2022-01-23,CUST55387,BRG0002,2,112000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,224000
IN6028BRG0001,IN6028,2022-01-30,CUST55420,BRG0001,98,96000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,9408000
IN6023BRG0004,IN6023,2022-02-01,CUST55399,BRG0004,10,24500,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,245000
IN5997BRG0002,IN5997,2022-01-20,CUST55380,BRG0002,4,112000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,448000
IN6155BRG0007,IN6155,2022-01-21,CUST55382,BRG0007,10,64700,KLINIK GM,CAB03,Jakarta,TA,Klinik,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,647000
IN6251BRG0004,IN6251,2022-01-23,CUST55387,BRG0004,5,24500,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,122500
IN6245BRG0008,IN6245,2022-01-30,CUST55397,BRG0008,34,9800,KLINIK GM,CAB03,Jakarta,TA,Klinik,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,333200
IN6144BRG0009,IN6144,2022-01-22,CUST55383,BRG0009,13,31000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,403000
IN6287BRG0002,IN6287,2022-01-30,CUST55391,BRG0002,17,112000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,1904000
IN6251BRG0008,IN6251,2022-01-23,CUST55387,BRG0008,5,9800,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,49000
IN6113BRG0004,IN6113,2022-02-01,CUST55382,BRG0004,12,24500,KLINIK GM,CAB03,Jakarta,TA,Klinik,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6251BRG0005,IN6251,2022-01-23,CUST55387,BRG0005,5,47000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,235000
IN6023BRG0010,IN6023,2022-02-01,CUST55399,BRG0010,15,21000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,315000
IN6259BRG0005,IN6259,2022-02-01,CUST55405,BRG0005,18,47000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,846000
IN6024BRG0006,IN6024,2022-01-27,CUST55394,BRG0006,12,39000,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,468000
IN6190BRG0001,IN6190,2022-01-23,CUST55390,BRG0001,40,96000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,3840000
IN6155BRG0003,IN6155,2022-01-21,CUST55382,BRG0003,9,17000,KLINIK GM,CAB03,Jakarta,TA,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,153000
IN5997BRG0001,IN5997,2022-01-20,CUST55380,BRG0001,1,96000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,96000
IN6307BRG0003,IN6307,2022-01-23,CUST55396,BRG0003,24,17000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,408000
IN6131BRG0010,IN6131,2022-01-28,CUST55418,BRG0010,27,21000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,567000
IN6301BRG0006,IN6301,2022-02-01,CUST55393,BRG0006,12,39000,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,468000
IN6029BRG0001,IN6029,2022-01-28,CUST55389,BRG0001,1,96000,KLINIK GM,CAB03,Jakarta,TA,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,96000
IN6028BRG0007,IN6028,2022-01-30,CUST55420,BRG0007,7,64700,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,452900
IN6155BRG0004,IN6155,2022-01-21,CUST55382,BRG0004,12,24500,KLINIK GM,CAB03,Jakarta,TA,Klinik,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6287BRG0006,IN6287,2022-01-30,CUST55391,BRG0006,20,39000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,780000
IN6029BRG0004,IN6029,2022-01-28,CUST55389,BRG0004,7,24500,KLINIK GM,CAB03,Jakarta,TA,Klinik,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,171500
IN6024BRG0005,IN6024,2022-01-27,CUST55394,BRG0005,12,47000,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,564000
IN6306BRG0004,IN6306,2022-01-27,CUST55430,BRG0004,45,24500,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,1102500
IN6308BRG0001,IN6308,2022-01-23,CUST55397,BRG0001,8,96000,KLINIK GM,CAB03,Jakarta,TA,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,768000
IN6029BRG0007,IN6029,2022-01-28,CUST55389,BRG0007,14,64700,KLINIK GM,CAB03,Jakarta,TA,Klinik,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,905800
IN6280BRG0001,IN6280,2022-01-23,CUST55384,BRG0001,2,96000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,192000
IN6052BRG0010,IN6052,2022-01-23,CUST55385,BRG0010,5,21000,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,105000
IN6280BRG0005,IN6280,2022-01-23,CUST55384,BRG0005,5,47000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,235000
IN6297BRG0005,IN6297,2022-01-20,CUST55381,BRG0005,15,47000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,705000
IN6155BRG0008,IN6155,2022-01-21,CUST55382,BRG0008,25,9800,KLINIK GM,CAB03,Jakarta,TA,Klinik,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,245000
IN6063BRG0010,IN6063,2022-02-01,CUST55417,BRG0010,67,21000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,1407000
IN6113BRG0002,IN6113,2022-02-01,CUST55382,BRG0002,2,112000,KLINIK GM,CAB03,Jakarta,TA,Klinik,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,224000
IN6184BRG0004,IN6184,2022-01-28,CUST55395,BRG0004,25,24500,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,612500
IN6280BRG0002,IN6280,2022-01-23,CUST55384,BRG0002,3,112000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,336000
IN6195BRG0009,IN6195,2022-01-31,CUST55398,BRG0009,67,31000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,2077000
IN6063BRG0003,IN6063,2022-02-01,CUST55417,BRG0003,14,17000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,238000
IN6028BRG0003,IN6028,2022-01-30,CUST55420,BRG0003,4,17000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,68000
IN6024BRG0010,IN6024,2022-01-27,CUST55394,BRG0010,16,21000,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,336000
IN5997BRG0003,IN5997,2022-01-20,CUST55380,BRG0003,6,17000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,102000
IN6028BRG0002,IN6028,2022-01-30,CUST55420,BRG0002,5,112000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,560000
IN6052BRG0009,IN6052,2022-01-23,CUST55385,BRG0009,5,31000,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,155000
IN6306BRG0005,IN6306,2022-01-27,CUST55430,BRG0005,34,47000,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,1598000
IN6307BRG0004,IN6307,2022-01-23,CUST55396,BRG0004,12,24500,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6028BRG0004,IN6028,2022-01-30,CUST55420,BRG0004,8,24500,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,196000
IN6251BRG0007,IN6251,2022-01-23,CUST55387,BRG0007,12,64700,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,776400
IN6023BRG0007,IN6023,2022-02-01,CUST55399,BRG0007,10,64700,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,647000
IN6029BRG0006,IN6029,2022-01-28,CUST55389,BRG0006,7,39000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,273000
IN6036BRG0010,IN6036,2022-01-27,CUST55388,BRG0010,10,21000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,210000
IN6028BRG0009,IN6028,2022-01-30,CUST55420,BRG0009,67,31000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,2077000
IN6063BRG0005,IN6063,2022-02-01,CUST55417,BRG0005,24,47000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,1128000
IN6307BRG0005,IN6307,2022-01-23,CUST55396,BRG0005,14,47000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,658000
IN6063BRG0009,IN6063,2022-02-01,CUST55417,BRG0009,10,31000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,310000
IN6113BRG0005,IN6113,2022-02-01,CUST55382,BRG0005,12,47000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,564000
IN6297BRG0002,IN6297,2022-01-20,CUST55381,BRG0002,5,112000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,560000
IN6251BRG0009,IN6251,2022-01-23,CUST55387,BRG0009,12,31000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,372000
IN6063BRG0008,IN6063,2022-02-01,CUST55417,BRG0008,12,9800,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,117600
IN6307BRG0001,IN6307,2022-01-23,CUST55396,BRG0001,4,96000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,384000
IN6036BRG0003,IN6036,2022-01-27,CUST55388,BRG0003,15,17000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,255000
IN6195BRG0007,IN6195,2022-01-31,CUST55398,BRG0007,10,64700,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,647000
IN6029BRG0003,IN6029,2022-01-28,CUST55389,BRG0003,5,17000,KLINIK GM,CAB03,Jakarta,TA,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,85000
IN6063BRG0007,IN6063,2022-02-01,CUST55417,BRG0007,23,64700,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,1488100
IN6155BRG0005,IN6155,2022-01-21,CUST55382,BRG0005,12,47000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,564000
IN6155BRG0006,IN6155,2022-01-21,CUST55382,BRG0006,22,39000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,858000
IN6301BRG0004,IN6301,2022-02-01,CUST55393,BRG0004,12,24500,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,294000
IN6064BRG0004,IN6064,2022-02-02,CUST55380,BRG0004,24,24500,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,588000
IN6307BRG0002,IN6307,2022-01-23,CUST55396,BRG0002,4,112000,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,448000
IN6195BRG0004,IN6195,2022-01-31,CUST55398,BRG0004,10,24500,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,245000
IN6063BRG0001,IN6063,2022-02-01,CUST55417,BRG0001,12,96000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,1152000
IN6144BRG0008,IN6144,2022-01-22,CUST55383,BRG0008,13,9800,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,127400
IN6023BRG0008,IN6023,2022-02-01,CUST55399,BRG0008,10,9800,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,TETRACYCLINE KAPSUL 250 MG,TABLET,Produk jadi,204,MARCKS,98000
IN6306BRG0001,IN6306,2022-01-27,CUST55430,BRG0001,45,96000,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,4320000
IN6301BRG0009,IN6301,2022-02-01,CUST55393,BRG0009,10,31000,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,310000
IN6251BRG0001,IN6251,2022-01-23,CUST55387,BRG0001,2,96000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,192000
IN6028BRG0006,IN6028,2022-01-30,CUST55420,BRG0006,10,39000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,390000
IN6024BRG0007,IN6024,2022-01-27,CUST55394,BRG0007,8,64700,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,517600
IN6259BRG0006,IN6259,2022-02-01,CUST55405,BRG0006,19,39000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,741000
IN6280BRG0010,IN6280,2022-01-23,CUST55384,BRG0010,10,21000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,210000
IN6280BRG0006,IN6280,2022-01-23,CUST55384,BRG0006,25,39000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,975000
IN6063BRG0002,IN6063,2022-02-01,CUST55417,BRG0002,25,112000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,2800000
IN6023BRG0006,IN6023,2022-02-01,CUST55399,BRG0006,10,39000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,390000
IN6251BRG0003,IN6251,2022-01-23,CUST55387,BRG0003,12,17000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,204000
IN6024BRG0001,IN6024,2022-01-27,CUST55394,BRG0001,4,96000,KLINIK DR. ANDRI,CAB08,Lampung,TD,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,384000
IN6259BRG0003,IN6259,2022-02-01,CUST55405,BRG0003,14,17000,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,238000
IN6063BRG0004,IN6063,2022-02-01,CUST55417,BRG0004,21,24500,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,514500
IN6029BRG0005,IN6029,2022-01-28,CUST55389,BRG0005,7,47000,KLINIK GM,CAB03,Jakarta,TA,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,329000
IN6064BRG0005,IN6064,2022-02-02,CUST55380,BRG0005,24,47000,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,1128000
IN6023BRG0005,IN6023,2022-02-01,CUST55399,BRG0005,10,47000,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,470000
IN6144BRG0004,IN6144,2022-01-22,CUST55383,BRG0004,13,24500,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,TRAMADOL KAPSUL 50 MG,TABLET,Produk jadi,201,VNS,318500
IN6155BRG0009,IN6155,2022-01-21,CUST55382,BRG0009,25,31000,KLINIK GM,CAB03,Jakarta,TA,Klinik,AMBROXOL HC,BOTOL,Produk jadi,207,VNS,775000
